precip_hours,tmax,radiation_sum,tmin,evapo_et0,wind_dir_dominant,apparent_tmax,date,prcp,rain_sum,wind_gusts_max,wind_speed_max,apparent_tmin,sunshine_duration,latitude,longitude
20.0000,28.4000,12.1600,23.9000,2.2500,217.0000,33.3000,2020-09-28,24.6000,24.6000,46.8000,16.3000,28.7000,20803.5000,10.5417,107.2428
8.0000,29.1000,14.1900,24.4000,2.8900,265.0000,33.6000,2020-09-29,3.4000,3.4000,44.6000,14.7000,29.6000,26447.3200,10.5417,107.2428
7.0000,30.7000,21.6400,24.5000,4.3400,299.0000,36.3000,2020-09-30,1.0000,1.0000,39.6000,15.5000,29.8000,39936.4100,10.5417,107.2428
11.0000,31.0000,17.6900,24.4000,3.6200,313.0000,38.0000,2020-10-01,10.4000,10.4000,30.2000,11.0000,29.9000,29992.2200,10.5417,107.2428
21.0000,29.1000,16.7500,24.3000,3.2600,143.0000,35.2000,2020-10-02,23.4000,23.4000,27.0000,11.5000,29.8000,33666.6000,10.5417,107.2428
17.0000,29.6000,19.7900,24.2000,3.8200,247.0000,36.0000,2020-10-03,18.4000,18.4000,35.3000,15.3000,29.8000,39585.1800,10.5417,107.2428
17.0000,29.5000,15.8500,24.3000,3.1600,286.0000,38.1000,2020-10-04,17.0000,17.0000,31.7000,11.5000,29.1000,26572.0800,10.5417,107.2428
24.0000,28.9000,10.7400,23.6000,2.1200,303.0000,35.1000,2020-10-05,24.6000,24.6000,34.9000,12.1000,28.0000,20803.5000,10.5417,107.2428
18.0000,28.4000,10.5100,23.8000,2.1100,285.0000,33.4000,2020-10-06,24.6000,24.6000,32.0000,14.6000,28.3000,20803.5000,10.5417,107.2428
22.0000,27.3000,10.7000,24.0000,2.0400,265.0000,32.5000,2020-10-07,24.6000,24.6000,32.4000,13.8000,28.6000,20803.5000,10.5417,107.2428
22.0000,28.4000,15.9200,24.2000,3.0500,185.0000,34.5000,2020-10-08,20.6000,20.6000,31.0000,13.4000,29.4000,29252.2000,10.5417,107.2428
24.0000,26.8500,10.0350,24.6000,1.5650,201.0000,32.5000,2020-10-09,24.6000,24.6000,22.3000,10.1000,29.9000,20803.5000,10.5417,107.2428
24.0000,26.8500,10.0350,24.0000,1.5650,278.0000,32.0000,2020-10-10,22.0000,22.0000,21.6000,10.5000,29.2000,20803.5000,10.5417,107.2428
24.0000,27.5000,10.1700,24.1000,1.9900,264.0000,33.4000,2020-10-11,21.8000,21.8000,40.7000,15.9000,28.7000,20803.5000,10.5417,107.2428
22.0000,27.9000,11.3500,24.1000,2.2000,270.0000,33.3000,2020-10-12,24.6000,24.6000,32.8000,15.1000,29.0000,21732.3300,10.5417,107.2428
24.0000,27.7000,10.2500,23.5000,2.0800,263.0000,33.0000,2020-10-13,24.6000,24.6000,33.5000,12.4000,28.0000,20803.5000,10.5417,107.2428
21.0000,26.9000,10.0350,24.2000,1.6700,242.0000,32.4000,2020-10-14,24.6000,24.6000,48.6000,19.0000,28.6000,20803.5000,10.5417,107.2428
23.0000,27.7000,13.6400,23.8000,2.5200,257.0000,32.8000,2020-10-15,24.6000,24.6000,43.9000,21.4000,27.8000,27620.1600,10.5417,107.2428
24.0000,26.8500,10.0350,24.0000,1.5650,254.0000,31.2000,2020-10-16,21.7000,21.7000,39.6000,17.0000,28.1000,20803.5000,10.5417,107.2428
24.0000,27.9000,10.0350,24.0000,1.9300,232.0000,32.9000,2020-10-17,22.2000,22.2000,50.0000,14.3000,28.0000,20803.5000,10.5417,107.2428
21.0000,27.0000,10.0350,24.4000,1.6500,225.0000,32.9000,2020-10-18,24.6000,24.6000,46.4000,11.8000,29.1000,20803.5000,10.5417,107.2428
14.0000,29.3000,15.3600,24.4000,3.0700,275.0000,35.5000,2020-10-19,8.1000,8.1000,34.9000,12.6000,29.5000,23721.2400,10.5417,107.2428
16.0000,30.1000,17.9600,23.6000,3.6100,326.0000,37.2000,2020-10-20,14.8000,14.8000,27.4000,9.8000,28.7000,32803.4500,10.5417,107.2428
17.0000,30.3000,15.8100,23.7000,3.1900,78.0000,38.2000,2020-10-21,23.2000,23.2000,28.1000,12.8000,28.8000,24593.7700,10.5417,107.2428
15.0000,29.2000,15.0600,24.0000,2.9600,253.0000,36.0000,2020-10-22,12.9000,12.9000,22.7000,9.6000,28.8000,32878.8300,10.5417,107.2428
19.0000,29.4000,13.3500,23.8000,2.7300,244.0000,36.0000,2020-10-23,6.3000,6.3000,20.9000,9.7000,28.8000,24578.6000,10.5417,107.2428
19.0000,27.6000,12.2500,24.0000,2.4200,132.0000,33.1000,2020-10-24,4.7000,4.7000,25.2000,10.1000,29.1000,20803.5000,10.5417,107.2428
19.0000,27.7000,15.5300,23.8000,3.0100,218.0000,33.8000,2020-10-25,22.8000,22.8000,27.0000,7.6000,28.9000,39318.5500,10.5417,107.2428
16.0000,29.5000,17.3900,23.4000,3.4700,294.0000,35.6000,2020-10-26,14.6000,14.6000,25.2000,9.3000,28.5000,34174.8700,10.5417,107.2428
0.0000,29.4000,15.6800,23.3000,3.3300,296.0000,34.0000,2020-10-27,0.0000,0.0000,33.8000,15.4000,28.4000,20803.5000,10.5417,107.2428
11.0000,28.5000,10.0350,25.0000,2.2400,261.0000,32.8000,2020-10-28,8.6000,8.6000,51.5000,20.3000,28.5000,20803.5000,10.5417,107.2428
14.0000,27.8000,13.3100,24.0000,2.5500,230.0000,33.1000,2020-10-29,22.4000,22.4000,34.6000,16.3000,29.1000,34485.0800,10.5417,107.2428
7.0000,30.4000,20.9500,23.2000,4.1900,44.0000,38.3000,2020-10-30,3.5000,3.5000,25.6000,9.5000,28.1000,39428.3300,10.5417,107.2428
3.0000,31.3000,21.1200,24.2000,4.2800,78.0000,37.2000,2020-10-31,0.4000,0.4000,28.1000,11.3000,29.3000,39414.2400,10.5417,107.2428
13.0000,29.8000,15.7100,23.8000,3.1200,13.0000,36.0000,2020-11-01,12.1000,12.1000,29.9000,13.8000,28.5000,37178.9500,10.5417,107.2428
15.0000,27.8000,11.0500,23.5000,2.2500,81.0000,34.2000,2020-11-02,7.5000,7.5000,17.3000,8.4000,28.5000,20803.5000,10.5417,107.2428
6.0000,29.0000,18.1200,23.0000,3.6100,118.0000,35.7000,2020-11-03,1.8000,1.8000,19.8000,7.4000,27.4000,39368.1400,10.5417,107.2428
6.0000,29.4000,18.5900,23.4000,3.6800,263.0000,36.7000,2020-11-04,1.5000,1.5000,24.5000,9.8000,28.2000,39351.4700,10.5417,107.2428
