evapo_et0,wind_gusts_max,tmax,rain_sum,radiation_sum,apparent_tmin,apparent_tmax,wind_dir_dominant,wind_speed_max,tmin,prcp,date,sunshine_duration,precip_hours,latitude,longitude
4.2000,38.2000,31.4000,5.6000,20.3500,30.4000,37.9000,225.0000,17.1000,24.8000,5.6000,2020-08-30,39844.3900,9.0000,9.2941,105.7278
4.6500,33.5000,32.1000,1.7000,22.0800,29.2000,38.2000,234.0000,14.0000,24.0000,1.7000,2020-08-31,41814.6300,5.0000,9.2941,105.7278
4.1900,37.1000,32.1000,11.5000,20.0400,29.7000,38.7000,238.0000,17.4000,24.6000,11.5000,2020-09-01,39579.7600,7.0000,9.2941,105.7278
3.7300,28.1000,31.3000,16.5000,18.1000,30.5000,38.0000,256.0000,10.1000,24.8000,16.5000,2020-09-02,39352.8200,9.0000,9.2941,105.7278
4.1100,34.2000,32.0000,6.1000,19.8600,30.2000,38.8000,254.0000,14.0000,24.8000,6.1000,2020-09-03,39024.3900,8.0000,9.2941,105.7278
4.1500,37.8000,30.4000,6.9000,20.8500,30.8000,36.6000,208.0000,16.6000,25.4000,6.9000,2020-09-04,39620.8100,13.0000,9.2941,105.7278
4.8700,27.7000,31.3000,1.1000,23.1400,30.0000,38.7000,191.0000,13.8000,24.7000,1.1000,2020-09-05,41675.1300,4.0000,9.2941,105.7278
3.4800,31.3000,31.0000,23.1500,16.7700,30.1000,37.1000,226.0000,14.3000,24.4000,23.1500,2020-09-06,33884.6400,10.0000,9.2941,105.7278
3.7800,36.7000,30.0000,14.9000,18.6600,29.2000,35.3000,262.0000,15.8000,24.3000,14.9000,2020-09-07,40830.5700,8.0000,9.2941,105.7278
3.7100,29.5000,31.1000,7.3000,18.0200,29.6000,37.1000,226.0000,12.4000,24.4000,7.3000,2020-09-08,39930.4500,8.0000,9.2941,105.7278
3.1600,28.8000,31.1000,19.2000,15.2400,30.0000,38.4000,218.0000,11.0000,24.7000,19.2000,2020-09-09,23237.4500,9.0000,9.2941,105.7278
4.2400,27.7000,31.0000,3.2000,20.3900,29.8000,37.7000,230.0000,11.2000,24.2000,3.2000,2020-09-10,37772.1100,6.0000,9.2941,105.7278
3.5100,34.9000,30.3000,12.9000,17.3000,28.3000,36.3000,229.0000,16.9000,23.5000,12.9000,2020-09-11,28575.9900,8.0000,9.2941,105.7278
3.6000,27.4000,31.0000,13.5000,17.1200,29.1000,37.5000,217.0000,11.5000,24.1000,13.5000,2020-09-12,30311.6700,10.0000,9.2941,105.7278
3.1100,28.8000,30.4000,10.2000,14.8400,29.6000,36.2000,253.0000,12.4000,24.1000,10.2000,2020-09-13,21748.0400,11.0000,9.2941,105.7278
1.5100,25.6000,28.3000,21.1000,7.1850,29.1000,32.9000,242.0000,12.4000,24.2000,21.1000,2020-09-14,12094.1625,20.0000,9.2941,105.7278
4.1200,38.9000,30.8000,17.7000,20.3800,29.0000,36.8000,237.0000,16.9000,24.3000,17.7000,2020-09-15,33119.4600,14.0000,9.2941,105.7278
3.3300,44.3000,30.5000,12.0000,15.9700,28.3000,35.6000,257.0000,17.3000,24.2000,12.0000,2020-09-16,24685.4900,9.0000,9.2941,105.7278
3.3300,59.7500,29.7000,8.2000,16.2900,28.3000,34.0000,263.0000,28.5000,24.5000,8.2000,2020-09-17,31311.5900,15.0000,9.2941,105.7278
1.6400,58.0000,27.5000,19.1000,7.9600,27.6000,30.7000,243.0000,27.2000,24.2000,19.1000,2020-09-18,12094.1625,23.0000,9.2941,105.7278
2.3900,45.4000,29.6000,20.8000,11.2700,27.9000,33.9000,204.0000,19.1000,24.2000,20.8000,2020-09-19,15232.5100,17.0000,9.2941,105.7278
2.2600,33.5000,29.0000,5.5000,10.6600,28.8000,34.7000,227.0000,9.2000,23.5000,5.5000,2020-09-20,12588.8600,8.0000,9.2941,105.7278
4.4500,33.8000,32.3000,5.5000,21.1600,28.0000,38.4000,312.0000,10.9000,23.4000,5.5000,2020-09-21,39149.2100,10.0000,9.2941,105.7278
3.1100,28.4000,30.8000,23.1500,15.0200,29.5000,37.4000,303.0000,8.2000,24.2000,23.1500,2020-09-22,30900.2400,15.0000,9.2941,105.7278
3.1500,29.2000,30.1000,8.2000,15.2100,29.1000,34.8000,200.0000,12.8000,23.9000,8.2000,2020-09-23,24829.0400,5.0000,9.2941,105.7278
3.5800,30.2000,31.9000,23.1500,17.1600,29.3000,38.9000,237.0000,14.1000,24.3000,23.1500,2020-09-24,28198.7700,10.0000,9.2941,105.7278
4.7200,43.2000,32.9000,0.6000,21.1200,29.4000,38.7000,276.0000,14.8000,24.5000,0.6000,2020-09-25,40522.5500,1.0000,9.2941,105.7278
2.3800,48.2000,29.7000,2.6000,9.6700,30.7000,33.3000,286.0000,21.0000,26.0000,2.6000,2020-09-26,13974.8300,6.0000,9.2941,105.7278
1.2600,25.9000,26.8000,23.1500,7.1850,27.9000,31.5000,270.0000,11.9000,23.7000,23.1500,2020-09-27,12094.1625,22.0000,9.2941,105.7278
1.5300,39.6000,26.8000,23.1500,7.6800,26.2000,31.7000,227.0000,20.4000,23.5000,23.1500,2020-09-28,12094.1625,20.0000,9.2941,105.7278
3.2400,43.2000,31.1000,7.5000,15.3400,28.5000,37.3000,242.0000,12.2000,24.2000,7.5000,2020-09-29,32190.6000,8.0000,9.2941,105.7278
